Person ID,Home Phone,Business Phone,Formatted Home Phone,Formatted Business Phone
42,81399677464,(81)  8014962609,+81 3-9967-7464,+81 80-1496-2609
57,(81) 70 14898960,,+81 70-1489-8960,
177,,(+81) 03-3851 6282,,+81 3-3851-6282
77,,3 1532-3577,,+81 3-1532-3577
91,03 28033529,81  0341302489,+81 3-2803-3529,+81 3-4130-2489
7,(81) 9081834225,05054097192,+81 90-8183-4225,+81 50-5409-7192
20,0696632678,818033599708,+81 6-9663-2678,+81 80-3359-9708
258,80-7315-4708,383213877,+81 80-7315-4708,+81 3-8321-3877
288,(81) 8082414379,0698662834,+81 80-8241-4379,+81 6-9866-2834
137,7068925059,07082602206,+81 70-6892-5059,+81 70-8260-2206
97,+81 0319027463,,+81 3-1902-7463,
143,03-71362224,8013933503,+81 3-7136-2224,+81 80-1393-3503
295,032069 7807,(81)  393462036,+81 3-2069-7807,+81 3-9346-2036
69,(81) 90-22633297,09069767493,+81 90-2263-3297,+81 90-6976-7493
76,663618383,,+81 6-6361-8383,
128,+81  06 7903 2267,81678486472,+81 6-7903-2267,+81 6-7848-6472
210,(+81)  346987800,(+81)0357952397,+81 3-4698-7800,+81 3-5795-2397
170,8020327783,9015884552,+81 80-2032-7783,+81 90-1588-4552
201,,+81 06 5702 4942,,+81 6-5702-4942
229,09015774468,0381791605,+81 90-1577-4468,+81 3-8179-1605
40,(81)8093525547,6-5593-7574,+81 80-9352-5547,+81 6-5593-7574
230,+81  904462 1811,(81)06 3730-9952,+81 90-4462-1811,+81 6-3730-9952
266,,50 1396 5920,,+81 50-1396-5920
73,6 45399927,9025621978,+81 6-4539-9927,+81 90-2562-1978
44,324111631,,+81 3-2411-1631,
287,+81 07048419928,(81)0612805813,+81 70-4841-9928,+81 6-1280-5813
117,08051848577,0353892879,+81 80-5184-8577,+81 3-5389-2879
197,0610546542,+81  8085191429,+81 6-1054-6542,+81 80-8519-1429
1,815023142015,625368564,+81 50-2314-2015,+81 6-2536-8564
234,,,,
294,(81) 0337688453,81  8080679174,+81 3-3768-8453,+81 80-8067-9174
248,(81) 5022072354,,+81 50-2207-2354,
100,3 9883 2091,0314349769,+81 3-9883-2091,+81 3-1434-9769
56,0629404087,645013211,+81 6-2940-4087,+81 6-4501-3211
133,,815094141264,,+81 50-9414-1264
101,07019577476,,+81 70-1957-7476,
176,(+81)03 8260 3734,+81090-79969377,+81 3-8260-3734,+81 90-7996-9377
119,8048689303,5057647684,+81 80-4868-9303,+81 50-5764-7684
247,(+81) 805816 2948,+81  03-71624552,+81 80-5816-2948,+81 3-7162-4552
38,(+81)  0694009828,(+81) 09024053373,+81 6-9400-9828,+81 90-2405-3373
239,(+81) 050-1947-8570,+81  5042887642,+81 50-1947-8570,+81 50-4288-7642
231,8035584302,,+81 80-3558-4302,
30,81 080 4144-1214,5015261005,+81 80-4144-1214,+81 50-1526-1005
157,03-4681-4197,(81) 0352937735,+81 3-4681-4197,+81 3-5293-7735
47,,06 49387418,,+81 6-4938-7418
66,+81 340892464,,+81 3-4089-2464,
284,,,,
257,,6-63109662,,+81 6-6310-9662
154,81  08065259100,(81) 90 70633430,+81 80-6525-9100,+81 90-7063-3430
175,63427-1381,8109059371654,+81 6-3427-1381,+81 90-5937-1654
37,81  33242 2552,,+81 3-3242-2552,
138,039833-9404,653647377,+81 3-9833-9404,+81 6-5364-7377
70,(+81)  07017525664,7085325115,+81 70-1752-5664,+81 70-8532-5115
217,(81) 06 99567714,(+81)  3-28059949,+81 6-9956-7714,+81 3-2805-9949
127,+81  50 8570 6633,05067264899,+81 50-8570-6633,+81 50-6726-4899
161,(+81)  3 6152 5274,8085503388,+81 3-6152-5274,+81 80-8550-3388
159,+81 050 1600 4361,(+81) 807068-7657,+81 50-1600-4361,+81 80-7068-7657
165,0318971031,8036489352,+81 3-1897-1031,+81 80-3648-9352
102,+81 646552142,,+81 6-4655-2142,
299,(+81) 0347661060,08016418107,+81 3-4766-1060,+81 80-1641-8107
147,(81) 0391373375,693073242,+81 3-9137-3375,+81 6-9307-3242
31,81 0346095692,08064007765,+81 3-4609-5692,+81 80-6400-7765
172,06-2443-3220,03-11222466,+81 6-2443-3220,+81 3-1122-2466
214,(81)  0682219320,,+81 6-8221-9320,
114,8133337-9706,818051485313,+81 3-3337-9706,+81 80-5148-5313
8,08065995746,64604 5957,+81 80-6599-5746,+81 6-4604-5957
207,(81)  07092624254,,+81 70-9262-4254,
110,+818079354457,0616262074,+81 80-7935-4457,+81 6-1626-2074
155,81 903688 2101,330909174,+81 90-3688-2101,+81 3-3090-9174
109,070-4563 2482,08071894752,+81 70-4563-2482,+81 80-7189-4752
118,(+81) 31386 4377,(81)64008-5221,+81 3-1386-4377,+81 6-4008-5221
233,6 6240 3451,0666987410,+81 6-6240-3451,+81 6-6698-7410
181,080 4453 5597,+81 0702832 2747,+81 80-4453-5597,+81 70-2832-2747
35,05086991896,81 08097295656,+81 50-8699-1896,+81 80-9729-5656
41,81  685416319,,+81 6-8541-6319,
256,090 8520 8768,9083536151,+81 90-8520-8768,+81 90-8353-6151
135,08057138363,03 5496 5621,+81 80-5713-8363,+81 3-5496-5621
279,,+81 6 7953-3345,,+81 6-7953-3345
150,+8103 23568919,(+81)3 83298378,+81 3-2356-8919,+81 3-8329-8378
108,,+81702825 4234,,+81 70-2825-4234
273,070-4998 9826,81630781857,+81 70-4998-9826,+81 6-3078-1857
199,,+81 0632285837,,+81 6-3228-5837
183,638458178,3 39918694,+81 6-3845-8178,+81 3-3991-8694
297,81  0374007190,(81)  0637482880,+81 3-7400-7190,+81 6-3748-2880
173,901327-5796,07023193396,+81 90-1327-5796,+81 70-2319-3396
17,0398863598,81 080 8887 9660,+81 3-9886-3598,+81 80-8887-9660
9,+81070-2450-4426,08051063264,+81 70-2450-4426,+81 80-5106-3264
84,0631975400,665127536,+81 6-3197-5400,+81 6-6512-7536
174,,0367564373,,+81 3-6756-4373
74,070 1739-8054,+81 3-21657845,+81 70-1739-8054,+81 3-2165-7845
81,(+81) 6 94452967,050-1704 3576,+81 6-9445-2967,+81 50-1704-3576
107,(+81) 3-8057-5705,,+81 3-8057-5705,
80,81 506401-6019,,+81 50-6401-6019,
115,323518679,(81) 0506472-6931,+81 3-2351-8679,+81 50-6472-6931
27,+81 08046236384,5071527434,+81 80-4623-6384,+81 50-7152-7434
79,(+81)325379077,0688597046,+81 3-2537-9077,+81 6-8859-7046
156,36374-9635,3 6694 1309,+81 3-6374-9635,+81 3-6694-1309
131,90-11712217,8109061607233,+81 90-1171-2217,+81 90-6160-7233
237,,090 4288 1066,,+81 90-4288-1066
263,657635446,81 80-6339-8048,+81 6-5763-5446,+81 80-6339-8048
272,81  0363071832,0507016 5283,+81 3-6307-1832,+81 50-7016-5283
238,,0395379884,,+81 3-9537-9884
33,(81) 3-57806795,6-5148 4573,+81 3-5780-6795,+81 6-5148-4573
195,(+81)333257097,+81902515-1625,+81 3-3325-7097,+81 90-2515-1625
60,(+81)805781 9406,+81 5044528519,+81 80-5781-9406,+81 50-4452-8519
93,7081274678,(+81)  90 4809-7904,+81 70-8127-4678,+81 90-4809-7904
281,81  09094501595,62918-7695,+81 90-9450-1595,+81 6-2918-7695
6,09034078022,81 0622057490,+81 90-3407-8022,+81 6-2205-7490
23,,9091751018,,+81 90-9175-1018
142,37167 5010,0388239573,+81 3-7167-5010,+81 3-8823-9573
189,,09081077695,,+81 90-8107-7695
124,05023424349,09066406416,+81 50-2342-4349,+81 90-6640-6416
61,0381525848,,+81 3-8152-5848,
96,(+81)080 68098843,81 050-68198950,+81 80-6809-8843,+81 50-6819-8950
245,6-5300 1983,,+81 6-5300-1983,
13,90 5415-3066,,+81 90-5415-3066,
208,+81  70 26884640,(81) 032006-1185,+81 70-2688-4640,+81 3-2006-1185
151,81 05062853576,81 032200-5389,+81 50-6285-3576,+81 3-2200-5389
